quarter,industry1,industry2,industry3,total_paid_hours
2021-Q2,services,information and communications,"telecommunications, broadcasting and publishing",41.6
2021-Q2,services,information and communications,it and other information services,41.5
2021-Q2,services,financial and insurance services,financial services,41.4
2021-Q2,services,financial and insurance services,insurance services,40.4
2021-Q2,services,real estate services,real estate services,43.4
2021-Q2,services,professional services,"legal, accounting and management services",40.9
2021-Q2,services,professional services,architectural and engineering services,45.4
2021-Q2,services,professional services,other professional services,41.7
2021-Q2,services,administrative and support services,security and investigation,48
2021-Q2,services,administrative and support services,cleaning and landscaping,44.5
2021-Q2,services,administrative and support services,other adminstrative and support services,43.3
2021-Q2,services,"community, social and personal services",public administration and education,41.5
2021-Q2,services,"community, social and personal services",health and social services,42
2021-Q2,services,"community, social and personal services","arts, entertainment and recreation",42
2021-Q2,services,"community, social and personal services","other community, social and personal services",40.3
2021-Q2,others,others,others,45.1
2021-Q3,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",46.9
2021-Q3,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",48.7
2021-Q3,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.7
2021-Q3,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.5
2021-Q3,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",48.2
2021-Q3,manufacturing,transport equipment,transport equipment,49.4
2021-Q3,manufacturing,other manufacturing industries,other manufacturing industries,48
2021-Q3,construction,construction,construction,50.5
2021-Q3,services,wholesale and retail trade,wholesale trade,42.7
2021-Q3,services,wholesale and retail trade,retail trade,41.8
2021-Q3,services,transportation and storage,land transport and supporting services,46
2021-Q3,services,transportation and storage,water transport and supporting services,45.3
2021-Q3,services,transportation and storage,air transport and supporting services,42.7
2021-Q3,services,transportation and storage,other transport and storage services,46.1
2021-Q3,services,accommodation and food services,accommodation,44.3
2021-Q3,services,accommodation and food services,food and beverage services,39.4
2021-Q3,services,information and communications,"telecommunications, broadcasting and publishing",41.3
2021-Q3,services,information and communications,it and other information services,41.8
2021-Q3,services,financial and insurance services,financial services,41.1
2021-Q3,services,financial and insurance services,insurance services,40.1
2021-Q3,services,real estate services,real estate services,43.4
2021-Q3,services,professional services,"legal, accounting and management services",40.8
2021-Q3,services,professional services,architectural and engineering services,45
2021-Q3,services,professional services,other professional services,42.3
2021-Q3,services,administrative and support services,security and investigation,48.6
2021-Q3,services,administrative and support services,cleaning and landscaping,44.3
2021-Q3,services,administrative and support services,other adminstrative and support services,41.3
2021-Q3,services,"community, social and personal services",public administration and education,41.4
2021-Q3,services,"community, social and personal services",health and social services,42.3
2021-Q3,services,"community, social and personal services","arts, entertainment and recreation",43.6
2021-Q3,services,"community, social and personal services","other community, social and personal services",40.2
2021-Q3,others,others,others,44.9
2021-Q4,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",45.3
2021-Q4,manufacturing,"paper,rubber,plastic products and printing","paper,rubber,plastic products and printing",49.1
2021-Q4,manufacturing,"petroleum, chemical and pharmaceutical products","petroleum, chemical and pharmaceutical products",44.5
2021-Q4,manufacturing,"fabricated metal products, machinery and equipment","fabricated metal products, machinery and equipment",49.2
2021-Q4,manufacturing,"electronic, computer and optical products","electronic, computer and optical products",47.6
2021-Q4,manufacturing,transport equipment,transport equipment,48.4
2021-Q4,manufacturing,other manufacturing industries,other manufacturing industries,46.9
